Unnamed: 0,number,type,date,contact_type,short_description,content,category,subcategory,customer,resolved_at,close_notes,agent,reassigned_count,resolution_time,issue/request,software/system,output,assignment_group,item_id,role,poor_close_notes,info_score_close_notes,info_score_poor_close_notes
10,INC0044922,Incident,3/5/2021 9:50,Chat,Jenkins performance degradation during data-intensive operations,"I've been experiencing reduced performance with Jenkins, particularly during data-heavy tasks. I've checked and the hardware doesn't seem to be the issue. Could you please look into improving the speed? Thanks!",SOFTWARE,MALFUNCTION,"Peterson, Gus",3/5/2021 12:22,"Issue related to Jenkins performance degradation during data-intensive operations has been successfully resolved. Debugging steps included:  1. Checked hardware resources (CPU, memory, disk, network I/O) and verified no limitations or bottlenecks.  2. Reviewed Jenkins logs for errors or warning messages, highlighting potential causes.  3. Analyzed Jenkins build configurations and identified inefficient build scripts or plugins causing heavy resource usage.  4. Optimized Jenkins build scripts and disabled unnecessary plugins.  5. Cleared Jenkins cache and old build records to free up resources.  6. Monitored Jenkins performance post-optimization to ensure stability and improved speed.  Customer confirmed resolution and satisfaction.","Price, Andrew",1,152.94,Jenkins Slow Performance Issue,Jenkins,Software/System: Jenkins ; Issue/Request: Jenkins Slow Performance Issue,PERFORMANCE MONITORING,5414,customer,No further action required,0.9,0.0
11,INC003230,Incident,2/3/2021 9:54,Chat,Tenable Nessus Problem : Kernel power event 41,"The user is having trouble with Tenable Nessus and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']Kernel power event 41

I attempted to reinstall the application but the error message remains
Escalating to TIER 3",SOFTWARE,ERROR,"Iversen, Signe",2/3/2021 17:01,"Investigated the reported issue with Tenable Nessus and the Kernel power event 41 error message. 
Attempted to reinstall the application to resolve the error, but the issue persisted. 
Escalated the ticket to TIER 3 for further analysis and resolution. 
The customer has been informed of the escalation and will be contacted by a TIER 3 technician for advanced troubleshooting. 
Ticket closed as the issue has been escalated for further support.","Ortega, Luis",3,25644.9308,Error - Kernel power event 41,Tenable Nessus,Software/System: Tenable Nessus ; Issue/Request: Error - Kernel power event 41,TIER 2 TEAM,9721,agent,The issue has been escalated to TIER 3 for further investigation. No further action required from my end at this time.,0.6000000000000001,0.2
12,INC0033759,Incident,2/13/2021 13:25,Email,Zoom not saving meeting recordings,"Hi Support, I’ve noticed an issue with Zoom where my meeting recordings aren’t being saved. This problem started this week and affects all my meetings—neither cloud nor local recording options yield any results. I've tried restarting the application and ensured there’s ample space on my local drive and in my cloud storage. This is impacting my ability to share meeting notes with colleagues and clients. Could you please look into this matter urgently, as I have important meetings scheduled in the coming days? Thanks.",SOFTWARE,ERROR,"Gonzalez, Emma",,"Investigated the issue with Zoom not saving meeting recordings. 
Checked the application settings and confirmed that both cloud and local recording options were configured correctly. 
Verified that there was sufficient space on the local drive and in cloud storage, as reported by the user. 
Attempted to replicate the issue on a similar setup but found that recordings were saving without any problems. 
Recommended updating Zoom to the latest version to address any potential bugs. 
Guided the user on how to check for updates and perform the installation. 
After the update, confirmed that the recording feature was functioning properly on their end. 
The user expressed satisfaction with the resolution and confirmed that they were able to save recordings successfully. 
Ticket closed as the issue has been resolved.","Howard, Grace",0,6513.292662,Meeting recordings not saving,Zoom,Software/System: Zoom ; Issue/Request: Meeting recordings not saving,,12063,customer,Issue resolved. The customer can now save Zoom recordings.,0.8,0.1
13,TASK0048804,Request,3/30/2021 8:39,Chat,Assistance needed for upgrading EAMS software to the latest version.,The customer has requested assistance with upgrading their EAMS software to the latest version in order to utilize new features and improvements. They have expressed concerns about potential impacts on ongoing projects and compatibility with existing data. This issue needs to be addressed by our Software Upgrade Team to ensure a smooth transition and maintenance of project continuity.,SOFTWARE,INSTALLATION,"Morales, Carolyn",4/1/2021 23:18,Resolved the issue by upgrading the EAMS software to the latest version. Followed these troubleshooting steps:   1. Backed up existing data to ensure no data loss during the upgrade.  2. Verified system requirements for the new version to ensure compatibility.  3. Downloaded the latest version of the EAMS software from the official website.  4. Performed the upgrade on a test environment to confirm that all features and data are functioning as expected.  5. Successfully installed the new version on all required systems.  6. Tested key functionalities to ensure the software upgrade did not impact ongoing projects.  7. Provided documentation and a brief training session to the team on using the new features.,"Lopez, Sofia",0,3759.97,EAMS Upgrade Request,EAMS,Software/System: EAMS ; Issue/Request: EAMS Upgrade Request,APPLICATION SUPPORT,7382,agent,Resolved,0.9,0.0
14,TASK0036542,Request,1/15/2021 10:08,Chat,Request for Adobe Acrobat training,"The customer has expressed interest in enhancing their skillset with Adobe Acrobat to increase work efficiency. They have already explored available training options and have scheduled a tutorial session with an expert. Currently, they are awaiting approval from the Training and Development Team.",SOFTWARE,ACCESS,"White, Matthew",1/15/2021 11:31,The user requested to learn more about Adobe Acrobat to improve efficiency. I provided information on available training resources and scheduled a tutorial session with an expert. I also informed the user that the Training and Development Team will review and confirm the session. The user is satisfied with the scheduled training and is awaiting further updates.,"Harris, Nicole",0,83.91,Adobe Acrobat Training Request,Adobe Acrobat,Software/System: Adobe Acrobat ; Issue/Request: Adobe Acrobat Training Request,HELPDESK OPERATIONS,1260,agent,No further action required,0.6000000000000001,0.0
15,TASK0044873,Request,3/5/2021 6:53,Phone,Request for additional RMSys licenses,Our company is in need of more RMSys licenses for our team as our projects are expanding and our current license count is insufficient. We've already looked over our license usage and realized we need additional licenses to continue our work efficiently. Can you please provide us with more licenses?,SOFTWARE,ACCESS,"Rivera, Zoe",3/5/2021 7:25,Resolved the request for additional RMSys licenses by reviewing the current license inventory and confirming the necessity for additional licenses based on current usage metrics. Coordinated with the Licensing Team to procure and allocate the necessary number of licenses to support the team's projects. Followed up with the requestor to ensure they received the licenses and verified that the licenses were functioning correctly.,"Cole, Layla",0,32.38,RMSys License Request,RMSys,Software/System: RMSys ; Issue/Request: RMSys License Request,IT PROCUREMENT,5388,customer,Resolved,0.8,0.0
16,INC0092189,Incident,2/13/2021 13:25,Email,Outlook no longer connects to mail server,"Since this morning, Outlook won't connect to the mail server. I've checked my internet connection and restarted my computer, but nothing has worked. I rely heavily on email for my daily tasks, so any assistance in resolving this quickly would be appreciated.",SOFTWARE,ERROR,"Rogers, Lauren",,"Checked the user's Outlook configuration and confirmed that the account settings were correct.  
Tested the connection to the mail server and found that it was unresponsive.  
Investigated potential network issues and determined that the user's internet connection was stable.  
Performed a repair on the Outlook application to address any potential corruption.  
After the repair, Outlook successfully connected to the mail server.  
Informed the user of the resolution and advised them to monitor the connection for any future issues.  
The user confirmed that they can now access their email without any problems.  
Ticket closed as the issue has been resolved and the user is satisfied with the outcome.","Price, Andrew",2,11027.40744,User unable to connect to mail server.,Outlook,Software/System: Outlook ; Issue/Request: User unable to connect to mail server.,,12058,customer,Issue resolved. Outlook is now connecting to the mail server.,0.7000000000000001,0.1
17,TASK0037886,Request,1/22/2021 15:03,Phone,Request for additional LMSLite licenses for the marketing department.,The customer has requested additional licenses for LMSLite for the marketing department to support increased campaign efforts. They have confirmed that the current number of licenses is insufficient and are asking for the Licensing Team to be informed about this need for additional licenses.,SOFTWARE,ACCESS,"Bennett, Cynthia",1/23/2021 0:14,"The ticket was resolved by coordinating with the Licensing Team. The current license usage was reviewed and confirmed to be at maximum capacity. A request was then submitted to the Licensing Team for additional LMSLite licenses. The new licenses were procured and allocated to the marketing department. The department confirmed the receipt and activation of the additional licenses, and operations continued smoothly.","Oliver, Zoe",0,551.32,LMSLite License Request,LMSLite,Software/System: LMSLite ; Issue/Request: LMSLite License Request,ASSET MANAGEMENT,1925,agent,Issue resolved,0.8,0.0
18,TASK0038721,Request,1/28/2021 9:41,Chat,Request for access to shared Q drive for compliance check.,"The customer has requested access to the shared drive for software licenses located on the Q drive. This is in preparation for an upcoming compliance check, where specific details need to be verified. Currently, access is restricted to IT leaders only. Please review and consider granting the necessary permissions to allow the customer to proceed with the compliance checks.",ACCOUNT,ACCESS,"Adams, Kenneth",1/28/2021 19:04,"Access to the shared Q drive, containing software licenses, was requested for compliance purposes. Verified that the user is authorized to view the content. Checked for existing access permissions. Updated the user's permissions to include read-only access to the Q drive. Confirmed with the user that they can now access the required files. Ensured that all changes were logged for auditing purposes. User confirmed access is working as expected.","Villanueva, Elena",4,563.15,Shared Drive Access Request,Shared Drive,Software/System: Shared Drive ; Issue/Request: Shared Drive Access Request,USER ACCESS MANAGEMENT,2343,agent,Resolved,0.9,0.0
19,TASK0043651,Request,2/26/2021 8:57,Chat,Request for additional Jenkins licenses for the marketing department,I am reaching out on behalf of our marketing department. We are currently expanding our marketing initiatives and find ourselves in need of additional Jenkins licenses. Could you please review our current license situation and provide the necessary additional licenses as per our department's requirements? Thank you for your assistance in this matter.,SOFTWARE,ACCESS,"Lopez, Patricia",2/26/2021 11:47,"Reviewed the current license usage for Jenkins in the marketing department. Verified that the existing licenses are fully utilized and an additional number are needed to support their expanding initiatives. Coordinated with the software supplier and procured the necessary additional licenses. Updated the license management system and notified the marketing department of the new license allocation, confirming the successful addition and activation.","Hernandez, Juan",0,170.62,Jenkins License Request,Jenkins,Software/System: Jenkins ; Issue/Request: Jenkins License Request,DEVOPS TEAM,4789,customer,Closed,0.8,0.0
20,TASK0037377,Request,1/20/2021 13:12,Chat,Request for training on efficient use of Slack,One of our team members needs help understanding more about using Slack efficiently. We have explored the available training options and organized a session with a specialist. The Training and Development Team is currently reviewing this request.,SOFTWARE,CONFIGURATION,"Sullivan, Stephen",1/20/2021 15:16,"The team member required assistance with using Slack more efficiently. Initially, we provided some basic guidelines and pointed them towards available resources in the Slack Help Center. Upon request for more in-depth training, we engaged the Training and Development Team to organize a specialized session. The request was reviewed and approved. A training session with a specialist has been scheduled to address all the queries and ensure the efficient use of Slack tools and features. Issue resolved successfully.","Perez, Grace",0,124.18,Slack Training Request,Slack,Software/System: Slack ; Issue/Request: Slack Training Request,HELPDESK OPERATIONS,1668,agent,Closing as completed.,0.6000000000000001,0.0
21,INC0035405,Incident,1/8/2021 13:20,Email,AWS is operating slowly when processing complex data sets,"I've noticed that Amazon Web Services (AWS) has been functioning rather slowly, especially when it's handling complex data sets. I've checked this on my end to make sure it's not a problem with my hardware. Could you look into this further?",SOFTWARE,CONFIGURATION,"Kumar, Vikram",1/8/2021 14:55,"The issue with AWS operating slowly when processing complex data sets has been resolved. Here are the troubleshooting steps that were taken: 
1. Conducted an initial system evaluation to rule out hardware-related issues, confirming that the problem was not related to physical components.
2. Forwarded the issue to the Performance Optimization Team for a more in-depth analysis.
3. The Performance Optimization Team identified that the slow performance was due to suboptimal configuration settings in the AWS environment.
4. Updated and optimized the configuration settings for better resource allocation and performance tuning.
5. Performed extensive testing on the new configuration to ensure that the system operates efficiently under load.
6. Monitored the AWS performance post-optimization and confirmed that the issue was resolved. The system is now processing complex data sets at expected speeds.","Alvarez, Xavier",0,95.26,Amazon Web Services (AWS) Slow Performance Issue,Amazon Web Services (AWS),Software/System: Amazon Web Services (AWS) ; Issue/Request: Amazon Web Services (AWS) Slow Performance Issue,CLOUD INFRASTRUCTURE,688,customer,Fixed,0.8,0.0
22,INC0043892,Incident,2/27/2021 7:35,Email,FACMgr crashes unexpectedly during file save,"I was using FACMgr, but every time I try to save a file, it just crashes unexpectedly. I've tried a few times, and it happens every single time I attempt to save. Can you take a look to see what's causing this and help fix it?",SOFTWARE,MALFUNCTION,"Rivera, Isabella",2/27/2021 12:04,"User reported that FACMgr crashes unexpectedly when attempting to save files. Initial diagnostics involved checking application log files for error codes related to the crashes. Identified error code 'FACM-CRSH-1042', which pointed to a possible issue with file handling routines. Reinstalled the FACMgr application and ensured that all user data was backed up before installation. Applied the latest software patch from the vendor to address known stability issues. Verified that the application no longer crashes by performing multiple file save operations successfully. Updated user’s application settings to match their previous configuration. User confirmed that the issue is resolved and FACMgr is functioning correctly now.","Alvarez, Xavier",0,269.9,FACMgr Crashing When Saving Files,FACMgr,Software/System: FACMgr ; Issue/Request: FACMgr Crashing When Saving Files,APPLICATION SUPPORT,4908,customer,See worknotes,0.9,0.0
23,TASK0040263,Request,2/5/2021 12:54,Self-service,Request for Atlassian Confluence 5.0 installation,"Customer is requesting for the following software to be installed.

Name: Atlassian Confluence
Version: 5.0

Please install the software on the user's machine as soon as possible. 

Escalating to Software Installation Team",SOFTWARE,INSTALLATION,"Carter, Brandon",2/5/2021 15:17,Installed Atlassian Confluence version 5.0 on the customer's machine successfully. Steps followed: 1) Confirmed software requirements with user. 2) Downloaded the installation file from the official Atlassian site. 3) Ran the installer with administrative privileges. 4) Followed on-screen instructions to complete the installation. 5) Configured initial settings and ensured the software launched without errors. 6) Completed a brief validation test to ensure functionality. Informed the customer of the successful installation and provided basic usage guidance.,"Adams, Joseph",0,143.8,Atlassian Confluence Install Request,Atlassian Confluence,Software/System: Atlassian Confluence ; Issue/Request: Atlassian Confluence Install Request,DESKTOP SUPPORT,3100,agent,No further action required,0.9,0.0
24,INC0026318,Incident,3/19/2021 13:13,Email,Formatting shifts between desktop and tablet,"The customer has expressed an issue where their Word documents display with different formatting on their desktop versus their tablet. Specifically, page numbers move, text alignment issues arise, and paragraph spacing becomes inconsistent. This discrepancy is causing workflow disruptions as the user frequently transitions between devices for presentations and document sharing.",SOFTWARE,ERROR,"Chen, Mei",,"Investigated the formatting discrepancies between the customer's Word documents on their desktop and tablet. 
Checked the version of Microsoft Word on both devices and confirmed they are running the same version, which is Office 365. 
Examined the document settings and discovered that different default settings for page layout and paragraph spacing were applied on the tablet. 
Adjusted the settings on the tablet to match those on the desktop, ensuring consistent page numbers, text alignment, and paragraph spacing. 
Tested the documents after adjustments to verify that the formatting issues were resolved on both devices. 
Informed the customer about the importance of maintaining consistent settings across devices to avoid similar issues in the future. 
The customer confirmed that the formatting is now consistent, and they are satisfied with the resolution. 
Ticket closed as the issue has been successfully resolved.","Baker, Mason",1,2236.872021,Formatting inconsistencies on different devices,Word,Software/System: Word ; Issue/Request: Formatting inconsistencies on different devices,,13033,agent,The formatting issue between devices has been addressed. No further action needed.,0.9,0.1
25,TASK0036911,Request,1/16/2021 15:36,Phone,Request for customization of Microsoft Dynamics 365 to meet department-specific needs,"Inquiry about the possibility of customizing Microsoft Dynamics 365 to better meet department-specific needs. 
Gathered requirements for desired customizations. 

Escalating to Custom Solutions Team",SOFTWARE,CONFIGURATION,"Edwards, Caleb",1/16/2021 20:05,"Gathered and documented the requirements for the desired customizations for Microsoft Dynamics 365 from the user. Since this involves complex customization, the issue was escalated to the Custom Solutions Team for further analysis and implementation. Awaiting response and action from the team. User has been notified about the escalation and will be updated as new information becomes available.","Alexander, Charlotte",0,269.95,Microsoft Dynamics 365 Configuration Request,Microsoft Dynamics 365,Software/System: Microsoft Dynamics 365 ; Issue/Request: Microsoft Dynamics 365 Configuration Request,CRM SUPPORT,1439,agent,ISSUE RESOLVED,0.3,0.0
26,INC001835,Incident,1/14/2021 8:56,Chat,Trello Error ,"Hi there, I'm having trouble using Trello. Every time I try to load it, I'm getting an error that says 'AttributeError: 'NoneType' object has no attribute'. I've already tried clearing my cookies and cache and even restarted my browser, but the issue is still there. Could you help me figure this out?",SOFTWARE,ERROR,"Young, Emily",1/14/2021 11:58,"Investigated the reported issue with Trello and replicated the error message 'AttributeError: 'NoneType' object has no attribute'. 
Confirmed that clearing cookies and cache was attempted, as well as restarting the browser, but the issue persisted. 
Checked for any known service disruptions with Trello and found no current issues reported. 
Suggested the customer try accessing Trello using a different browser to determine if the issue was browser-specific. 
The customer tested this and found that Trello loaded successfully in an alternative browser. 
Advised the customer to ensure their primary browser is updated to the latest version and to consider disabling any extensions that may interfere with Trello. 
The customer expressed satisfaction with the resolution and confirmed they would follow the recommendations provided. 
Ticket closed as the issue has been resolved.","Harris, Nicole",3,10925.49347,Error - AttributeError: 'NoneType' object has no attribute,Trello,Software/System: Trello ; Issue/Request: Error - AttributeError: 'NoneType' object has no attribute,TIER 2 TEAM,9305,customer,Issue resolved. User can access Trello now.,0.8,0.1
27,TASK0035247,Request,1/8/2021 7:23,Chat,Request for MySQL installation,"I need MySQL installed on my system as it's critical for my daily tasks. I haven't specified a version, so I'm assuming the latest stable version will be installed. Please confirm if my system is compatible and proceed with the installation.",SOFTWARE,INSTALLATION,"Cook, Ethan",1/8/2021 10:19,"User requested the installation of MySQL to support their daily tasks. Conducted initial system assessment to verify compatibility, confirming that the operating system meets the minimum requirements. Escalated the request to the Systems Installation Unit for further action and completion of the installation process.","Villanueva, Elena",0,176.3,MySQL Install Request,MySQL,Software/System: MySQL ; Issue/Request: MySQL Install Request,DBTED SUPPORT GROUP,612,customer,The issue has been resolved,0.4,0.0
28,TASK0044494,Request,3/3/2021 11:07,Chat,Request for extra IBM Watson licenses for marketing department,The marketing department requires extra IBM Watson licenses for the expanding campaign efforts. I have evaluated the current license allocations and the specific requests. Requesting the Licensing Team to take the necessary actions.,SOFTWARE,ACCESS,"Anderson, Joseph",3/3/2021 20:27,Reviewed the current license allocations and confirmed the necessity of additional licenses for the marketing department's expanding campaign efforts. Coordinated with the Licensing Team to procure the required number of IBM Watson licenses. Updated the license inventory and notified the marketing department of the successful acquisition. Verified access and functionality of the new licenses for the requestor.,"Richardson, Owen",0,560.5,IBM Watson License Request,IBM Watson,Software/System: IBM Watson ; Issue/Request: IBM Watson License Request,ASSET MANAGEMENT,5200,agent,Fixed,0.8,0.0
29,INC0038598,Incident,1/27/2021 13:20,Phone,NPDash crashing during file save operations,"I was saving a file in NPDash when it suddenly crashed without any warning, and I lost my work. I've tried to restart the application and save another file, but the same thing happened again. Are there any known issues with the application right now, or is there something else I should try to fix this problem?",SOFTWARE,ERROR,"Howard, Beverly",1/27/2021 14:15,"The issue was reported as NPDash going down unexpectedly during file save operations. Initial troubleshooting steps were performed, which included checking the application logs for any error messages. The issue was escalated to our Software Maintenance Crew for further investigation and resolution.","Wood, John",0,55.77,NPDash Crashing When Saving Files,NPDash,Software/System: NPDash ; Issue/Request: NPDash Crashing When Saving Files,APPLICATION SUPPORT,2282,customer,See worknotes,0.3,0.0
